person_id,avg_x,avg_y,avg_z,timestamp_sec
10410100,-27904.823529411765,3935.7058823529411765,1718.2941176470588235,2013-01-09 03:41:01
10410100,-28275.500000000000,3244.9666666666666667,1768.0000000000000000,2013-01-09 03:41:02
10410100,-29033.900000000000,2707.9666666666666667,1740.7666666666666667,2013-01-09 03:41:03
10410100,-29945.193548387097,2225.7096774193548387,1797.0645161290322581,2013-01-09 03:41:04
10410100,-30722.586206896552,1791.1379310344827586,1877.3793103448275862,2013-01-09 03:41:05
10410100,-31344.862068965517,1412.0689655172413793,1862.6206896551724138,2013-01-09 03:41:06
10410100,-32098.642857142857,768.0714285714285714,1848.1071428571428571,2013-01-09 03:41:07
10410100,-32901.678571428571,261.1428571428571429,1783.1785714285714286,2013-01-09 03:41:08
10410100,-33227.178571428571,77.9642857142857143,1840.1785714285714286,2013-01-09 03:41:09
10410100,-33215.464285714286,-61.9285714285714286,1832.1428571428571429,2013-01-09 03:41:10
10410100,-33247.607142857143,26.2500000000000000,1798.7500000000000000,2013-01-09 03:41:11
10410100,-33234.074074074074,25.0370370370370370,1804.4814814814814815,2013-01-09 03:41:12
10410100,-33218.000000000000,-62.9333333333333333,1808.1333333333333333,2013-01-09 03:41:13
10410100,-33202.071428571429,-35.5714285714285714,1794.3214285714285714,2013-01-09 03:41:14
10410100,-33224.896551724138,65.4827586206896552,1795.1724137931034483,2013-01-09 03:41:15
10410100,-33176.178571428571,60.0357142857142857,1809.0714285714285714,2013-01-09 03:41:16
10410100,-33190.241379310345,-74.7931034482758621,1807.6896551724137931,2013-01-09 03:41:17
10410100,-33260.241379310345,-21.2758620689655172,1779.9655172413793103,2013-01-09 03:41:18
10410100,-33255.034482758621,-7.7241379310344828,1785.5862068965517241,2013-01-09 03:41:19
10410100,-33281.642857142857,6.6785714285714286,1850.0000000000000000,2013-01-09 03:41:20
10410100,-33242.137931034483,60.8275862068965517,1793.8620689655172414,2013-01-09 03:41:21
10410100,-33262.000000000000,-2.5517241379310345,1838.2068965517241379,2013-01-09 03:41:22
10410100,-33173.357142857143,6.3928571428571429,1816.1428571428571429,2013-01-09 03:41:23
10410100,-33186.357142857143,3.0357142857142857,1773.2142857142857143,2013-01-09 03:41:24
10410100,-33300.206896551724,17.4137931034482759,1784.8965517241379310,2013-01-09 03:41:25
10410100,-33238.586206896552,-4.7931034482758621,1807.7931034482758621,2013-01-09 03:41:26
10410100,-33191.344827586207,17.4827586206896552,1843.2413793103448276,2013-01-09 03:41:27
10410100,-33216.107142857143,-68.1071428571428571,1862.0357142857142857,2013-01-09 03:41:28
10410100,-33344.275862068966,-319.4482758620689655,1877.7586206896551724,2013-01-09 03:41:29
10410100,-33700.000000000000,-701.3214285714285714,1822.1785714285714286,2013-01-09 03:41:30
10410100,-34136.482758620690,-1422.0000000000000000,1894.0344827586206897,2013-01-09 03:41:31
10410100,-34508.172413793103,-2125.3103448275862069,1866.1724137931034483,2013-01-09 03:41:32
10410100,-34907.357142857143,-2741.0357142857142857,1848.8928571428571429,2013-01-09 03:41:33
10410100,-35280.535714285714,-3412.8214285714285714,1835.4285714285714286,2013-01-09 03:41:34
10410100,-35616.551724137931,-3926.9310344827586207,1832.9655172413793103,2013-01-09 03:41:35
10410100,-35978.821428571429,-4167.2142857142857143,1789.4285714285714286,2013-01-09 03:41:36
10410100,-35996.206896551724,-4205.1724137931034483,1806.6206896551724138,2013-01-09 03:41:37
10410100,-36011.777777777778,-4227.9629629629629630,1817.1481481481481481,2013-01-09 03:41:38
10410100,-35756.655172413793,-4204.1724137931034483,1807.5862068965517241,2013-01-09 03:41:39
10410100,-35742.142857142857,-4201.0357142857142857,1885.7857142857142857,2013-01-09 03:41:40
10410100,-35746.107142857143,-4244.9285714285714286,1800.3571428571428571,2013-01-09 03:41:41
10410100,-35812.740740740741,-4109.1481481481481481,1830.3703703703703704,2013-01-09 03:41:42
10410100,-35819.518518518519,-4158.6666666666666667,1782.9259259259259259,2013-01-09 03:41:43
10410100,-35763.629629629630,-4164.6666666666666667,1779.4444444444444444,2013-01-09 03:41:44
10410100,-35726.153846153846,-4187.7307692307692308,1857.3076923076923077,2013-01-09 03:41:45
10410100,-35786.074074074074,-4195.6296296296296296,1868.1111111111111111,2013-01-09 03:41:46
10410100,-36028.960000000000,-4221.3200000000000000,1750.7600000000000000,2013-01-09 03:41:47
10410100,-36060.111111111111,-4194.7407407407407407,1714.4444444444444444,2013-01-09 03:41:48
10410100,-36065.321428571429,-4250.4285714285714286,1748.8214285714285714,2013-01-09 03:41:49
10410100,-35836.703703703704,-4569.9629629629629630,1745.5925925925925926,2013-01-09 03:41:50
10410100,-35512.400000000000,-5064.6000000000000000,1745.0000000000000000,2013-01-09 03:41:51
